company_clean,opportunity_market_v5,opportunity_confidence,company_normalized
AltoQi,LANGUAGE_PORTUGUESE_MARKET,0.65,altoqi
AltoQi Tecnologia,GLOBAL_OPPORTUNITY,0.55,altoqi tecnologia
Altus Engineering,NEEDS_COMPANY_MAPPING,0.4,altus engineering
Alume,NEEDS_COMPANY_MAPPING,0.4,alume
Alvarez & Marsal,GLOBAL_OPPORTUNITY,0.55,alvarez & marsal
Alvea Soluciones Tecnológicas,GLOBAL_OPPORTUNITY,0.55,alvea soluciones tecnológicas
Alvoar Lácteos,NEEDS_COMPANY_MAPPING,0.4,alvoar lácteos
AmRest,GLOBAL_OPPORTUNITY,0.55,amrest
AmSpec Group,LATAM_USD_CONFIRMED,0.85,amspec
Amadeus FiRe,SPAIN_EU_CONFIRMED,0.85,amadeus fire
Amadeus Fire,SPAIN_EU_CONFIRMED,0.85,amadeus fire
Amadeus Fire Group,SPAIN_EU_CONFIRMED,0.85,amadeus fire
Amaggi,LANGUAGE_PORTUGUESE_MARKET,0.65,amaggi
Amalga Group,GLOBAL_OPPORTUNITY,0.55,amalga
Amara NZero Brasil,BRAZIL_CONFIRMED,0.85,amara nzero
Amaris Consulting,GLOBAL_CONSULTING,0.9,amaris
Amaze Systems,GLOBAL_OPPORTUNITY,0.55,amaze systems
Amazon,GLOBAL_TECH,0.9,amazon
Amazon Web Services (AWS),GLOBAL_TECH,0.9,amazon web services
Ambar,LANGUAGE_PORTUGUESE_MARKET,0.65,ambar
Ambev,BRAZIL_CONFIRMED,0.9,ambev
Ambev Global Tech,BRAZIL_CONFIRMED,0.9,ambev
Ambev Tech,BRAZIL_CONFIRMED,0.9,ambev
Ambientare - Soluções em Meio Ambiente,LANGUAGE_PORTUGUESE_MARKET,0.65,ambientare - soluções em meio ambiente
Amcham-Brasil,BRAZIL_CONFIRMED,0.85,amcham
Amdocs,NEEDS_COMPANY_MAPPING,0.4,amdocs
Amenitiz,NEEDS_COMPANY_MAPPING,0.4,amenitiz
American IT Systems,GLOBAL_OPPORTUNITY,0.55,american it systems
American Red Cross,NEEDS_COMPANY_MAPPING,0.4,american red cross
American Tower do Brasil,BRAZIL_CONFIRMED,0.85,american tower do
Americar,GLOBAL_OPPORTUNITY,0.55,americar
Americas,BRAZIL_CONFIRMED,0.85,americas
Amey,GLOBAL_CONSULTING,0.9,amey
Amherst,NEEDS_COMPANY_MAPPING,0.4,amherst
Amicar,NEEDS_COMPANY_MAPPING,0.4,amicar
Amicci,LANGUAGE_PORTUGUESE_MARKET,0.65,amicci
Amigo Cuida,NEEDS_COMPANY_MAPPING,0.4,amigo cuida
Amil,NEEDS_COMPANY_MAPPING,0.4,amil
Amoedo Distribuidora,LANGUAGE_PORTUGUESE_MARKET,0.65,amoedo distribuidora
AmorSaúde Brasil,BRAZIL_CONFIRMED,0.85,amorsaúde
Amoreza,NEEDS_COMPANY_MAPPING,0.4,amoreza
Amoria Bond,NEEDS_COMPANY_MAPPING,0.4,amoria bond
Amorix Alimentos,NEEDS_COMPANY_MAPPING,0.4,amorix alimentos
Ampacet Corporation,LANGUAGE_PORTUGUESE_MARKET,0.65,ampacet
Amplifi (Europe),EUROPE_CONFIRMED,0.85,amplifi ()
Amplitude Recursos Humanos,NEEDS_COMPANY_MAPPING,0.4,amplitude recursos humanos
Ampstek,GLOBAL_OPPORTUNITY,0.55,ampstek
Amvox,LANGUAGE_PORTUGUESE_MARKET,0.65,amvox
Analisia,BRAZIL_CONFIRMED,0.85,analisia
Analítica Soluções Inovadoras,NEEDS_COMPANY_MAPPING,0.4,analítica soluções inovadoras
Ancar,BRAZIL_CONFIRMED,0.85,ancar
Ancient - The Wisdom of Technology,GLOBAL_OPPORTUNITY,0.55,ancient - the wisdom of
Andela,US_CANADA_LIKELY,0.9,andela
Andersen Lab,GLOBAL_OPPORTUNITY,0.55,andersen lab
Andreani Grupo Logístico,GLOBAL_OPPORTUNITY,0.55,andreani grupo logístico
Angeloni,LANGUAGE_PORTUGUESE_MARKET,0.65,angeloni
Angelus Odonto,LANGUAGE_PORTUGUESE_MARKET,0.65,angelus odonto
Anhanguera Educacional,NEEDS_COMPANY_MAPPING,0.4,anhanguera educacional
Animália Park,LANGUAGE_PORTUGUESE_MARKET,0.65,animália park
Anjo Tintas e Solventes,GLOBAL_OPPORTUNITY,0.55,anjo tintas e solventes
Anjun,LANGUAGE_PORTUGUESE_MARKET,0.65,anjun
Anton Paar Germany,EUROPE_CONFIRMED,0.85,anton paar germany
Anyone AI,GLOBAL_TECH,0.75,anyone ai
Aon,LOW_VALUE_UNRESOLVED,0.1,aon
Aoop - an NTT DATA Company,GLOBAL_CONSULTING,0.9,aoop - an ntt data company
Apdata,GLOBAL_OPPORTUNITY,0.55,apdata
Apex Global Mobility,NEEDS_COMPANY_MAPPING,0.4,apex mobility
Apex Resources Ltd,NEEDS_COMPANY_MAPPING,0.4,apex resources
Apex Systems,GLOBAL_OPPORTUNITY,0.55,apex systems
Apidel Technologies,GLOBAL_OPPORTUNITY,0.55,apidel
Aplicação Certa,LANGUAGE_PORTUGUESE_MARKET,0.65,aplicação certa
ApoioEcolimp,LANGUAGE_PORTUGUESE_MARKET,0.65,apoioecolimp
Apostou.Bet,GLOBAL_OPPORTUNITY,0.55,apostou.bet
AppNation,NEEDS_COMPANY_MAPPING,0.4,appnation
Appa Facilities,LANGUAGE_PORTUGUESE_MARKET,0.65,appa facilities
Appai - Associação Beneficente dos Professores RJ,GLOBAL_TECH,0.75,appai - associação beneficente dos professores rj
Appdome,GLOBAL_OPPORTUNITY,0.55,appdome
Appinventiv,NEEDS_COMPANY_MAPPING,0.4,appinventiv
Apple,US_CANADA_CONFIRMED,0.85,apple
AppleOne Employment Services,GLOBAL_TECH,0.9,appleone employment
Applica corp,GLOBAL_OPPORTUNITY,0.55,applica
Applied Materials,GLOBAL_OPPORTUNITY,0.55,applied materials
Applied Systems,GLOBAL_OPPORTUNITY,0.55,applied systems
Appmax,BRAZIL_CONFIRMED,0.85,appmax
AppsFlyer,US_CANADA_CONFIRMED,0.85,appsflyer
Appzlogic,NEEDS_COMPANY_MAPPING,0.4,appzlogic
Aprimore Talentos - Carreiras e Desenvolvimento,GLOBAL_TECH,0.75,aprimore talentos - carreiras e desenvolvimento
Apsen Farmacêutica,LANGUAGE_PORTUGUESE_MARKET,0.65,apsen farmacêutica
Aptar,NEEDS_COMPANY_MAPPING,0.4,aptar
Apter,NEEDS_COMPANY_MAPPING,0.4,apter
AptivaCorp,GLOBAL_OPPORTUNITY,0.55,aptivacorp
Apto Consultancy do Brasil,BRAZIL_CONFIRMED,0.85,apto do
Aqua Load | Lifting Solutions,BRAZIL_CONFIRMED,0.85,aqua load | lifting
Aquila Consultoria em Gestão,GLOBAL_CONSULTING,0.75,aquila em gestão
Aquila Data Enabler,GLOBAL_TECH,0.75,aquila data enabler
Aramis,BRAZIL_CONFIRMED,0.85,aramis
Arc.dev,GLOBAL_OPPORTUNITY,0.55,arc.dev
ArcTouch,GLOBAL_OPPORTUNITY,0.55,arctouch
Arcade.com,GLOBAL_OPPORTUNITY,0.55,arcade.com
Arcadea Group,NEEDS_COMPANY_MAPPING,0.4,arcadea
Arcadis,NEEDS_COMPANY_MAPPING,0.4,arcadis
ArcelorMittal,BRAZIL_CONFIRMED,0.85,arcelormittal
ArcelorMittal Aços Longos LATAM e Mineração Brasil,LATAM_USD_CONFIRMED,0.85,arcelormittal aços longos e mineração
ArcelorMittal Brasil,BRAZIL_CONFIRMED,0.85,arcelormittal
ArcelorMittal Sistemas,GLOBAL_TECH,0.75,arcelormittal
Arch Global Services (Philippines) Inc,GLOBAL_OPPORTUNITY,0.55,arch (philippines)
Archer Daniels Midland Company,NEEDS_COMPANY_MAPPING,0.4,archer daniels midland company
Archer Technology Advisors,GLOBAL_OPPORTUNITY,0.55,archer advisors
Archive,GLOBAL_OPPORTUNITY,0.55,archive
Arco Educação,LANGUAGE_PORTUGUESE_MARKET,0.65,arco educação
Arelance,SPAIN_EU_CONFIRMED,0.85,arelance
ArenoNet GmbH,GLOBAL_OPPORTUNITY,0.55,arenonet
Argenta,LANGUAGE_PORTUGUESE_MARKET,0.65,argenta
Argentum Investimentos,BRAZIL_CONFIRMED,0.85,argentum investimentos
Argon Strategy GmbH & Co. KG,GLOBAL_OPPORTUNITY,0.55,argon strategy & co
ArguSec,GLOBAL_OPPORTUNITY,0.55,argusec
Arik Tekh LLC,NEEDS_COMPANY_MAPPING,0.4,arik tekh
Arionkoder,GLOBAL_OPPORTUNITY,0.55,arionkoder
ArkValue,NEEDS_COMPANY_MAPPING,0.4,arkvalue
Armando Costa Advogados,LANGUAGE_PORTUGUESE_MARKET,0.65,armando costa advogados
Armazém PB,BRAZIL_CONFIRMED,0.85,armazém pb
